state_abbr,year,quarter,moud_generic,utilization_type,number_of_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed,scripts_per100k,total_reimb_per100k,medicaid_reimb_per100k,nonmedicaid_reimb_per100k,pop
AK,2011,1,Naltrexone,FFSU,19,23984.51,23984.51,0,2.629346552027157,3319.136245818993,3319.136245818993,0,NA
AK,2011,2,Buprenorphine,FFSU,401,90059.94,89849.97,209.97,55.49305091383631,12463.094353409086,12434.037306275974,29.057047133112746,NA
AK,2011,2,Methadone,FFSU,250,6091.15,6091.15,0,34.596665158252065,842.9339079147483,842.9339079147483,0,NA
AK,2011,2,Naltrexone,FFSU,23,28841.08,27752.4,1088.68,3.18289319455919,3991.220750249442,3840.5619605514985,150.65878969794343,NA
AK,2011,3,Buprenorphine,FFSU,396,97756.8,97076.58,680.22,54.80111761067127,13528.237106168863,13434.103731873078,94.13337429578488,NA
AK,2011,3,Methadone,FFSU,224,5956.38,5956.38,0,30.99861198179385,824.2835376612378,824.2835376612378,0,NA
AK,2011,3,Naltrexone,FFSU,33,41128.36,38358.81,2769.55,4.5667598008892725,5691.616397712191,5308.347621756044,383.26877595614803,NA
AK,2011,4,Buprenorphine,FFSU,585,111405.82,111405.82,0,80.95619647030983,15417.079404882004,15417.079404882004,0,NA
AK,2011,4,Methadone,FFSU,243,5949.93,5941.55,8.38,33.62795853382101,823.3909437001548,822.2312634840503,1.1596802161046094,NA
AK,2011,4,Naltrexone,FFSU,33,39550.3,39550.3,0,4.5667598008892725,5473.233944033667,5473.233944033667,0,NA
AK,2012,1,Buprenorphine,FFSU,579,115406.65999999999,115384.32999999999,22.33,79.17818784512254,15781.84836624903,15778.794741146126,3.0536251029042942,NA
AK,2012,1,Methadone,FFSU,168,4232.62,4217.95,14.67,22.97398196542416,578.8103306338904,576.8042097086953,2.0061209251950736,NA
AK,2012,1,Naltrexone,FFSU,30,36115.53,35987.34,128.19,4.1024967795400284,4938.794850546043,4921.2648818070675,17.52996873897454,NA
AK,2012,2,Buprenorphine,FFSU,585,127300.51,126627.19,673.32,79.99868720103055,17408.331076960105,17316.25463924011,92.07643771999639,NA
AK,2012,2,Methadone,FFSU,176,4078.21,4078.21,0,24.067981106634832,557.6947797095979,557.6947797095979,0,NA
AK,2012,2,Naltrexone,FFSU,61,42506.73,39087.490000000005,3419.24,8.341743451731391,5812.790764459251,5345.210061510103,467.5807029491482,NA
