state_abbr,year,pop,source,source_url
CT,2021,3607765,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
CT,2022,3618707,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
CT,2023,3641369,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
CT,2024,3674449,U.S. Census Bureau Vintage 2025 Population Estimates,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/state/totals/NST-EST2025-ALLDATA.csv
DC,1991,593239,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
DC,1992,584183,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
DC,1993,576358,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
DC,1994,564982,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
DC,1995,551273,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
DC,1996,538273,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
DC,1997,528752,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
DC,1998,521426,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
DC,1999,570213,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
DC,2000,572046,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
DC,2001,574504,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
DC,2002,573158,U.S. Census Bureau Population Estimates,https://www.census.gov/programs-surveys/popest/data.html
