directory_year,survey_year,state,census_region,census_division,facility_count,warning_count,state_fips,warning_share
2013,2012,NH,Northeast,New England,42,1,33,0.023809523809523808
2013,2012,NJ,Northeast,Middle Atlantic,320,22,34,0.06875
2013,2012,NM,West,Mountain,110,12,35,0.10909090909090909
2013,2012,NV,West,Mountain,64,1,32,0.015625
2013,2012,NY,Northeast,Middle Atlantic,809,81,36,0.10012360939431397
2013,2012,OH,Midwest,East North Central,290,7,39,0.02413793103448276
2013,2012,OK,South,West South Central,178,9,40,0.05056179775280899
2013,2012,OR,West,Pacific,206,4,41,0.019417475728155338
2013,2012,PA,Northeast,Middle Atlantic,460,39,42,0.08478260869565217
2013,2012,RI,Northeast,New England,54,1,44,0.018518518518518517
2013,2012,SC,South,South Atlantic,84,2,45,0.023809523809523808
2013,2012,SD,Midwest,West North Central,58,5,46,0.08620689655172414
2013,2012,TN,South,East South Central,178,5,47,0.028089887640449437
2013,2012,TX,South,West South Central,383,12,48,0.031331592689295036
2013,2012,UT,West,Mountain,137,5,49,0.0364963503649635
2013,2012,VA,South,South Atlantic,145,4,51,0.027586206896551724
2013,2012,VT,Northeast,New England,36,3,50,0.08333333333333333
2013,2012,WA,West,Pacific,417,16,53,0.03836930455635491
2013,2012,WI,Midwest,East North Central,212,19,55,0.08962264150943396
2013,2012,WV,South,South Atlantic,78,4,54,0.05128205128205128
2013,2012,WY,West,Mountain,43,0,56,0.0
